Time,Trip Time,Lost Packets,Voltage,roboRIO CPU,CAN,DS Disabled,DS Auto,DS Tele,Robot Disabled,Robot Auto,Robot Tele,Brownout,Watchdog,
19:43:50.179,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.199,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.219,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.239,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.259,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.279,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.299,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.319,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.339,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.359,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.379,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.399,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.419,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.439,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.459,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.479,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.499,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.519,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.539,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.559,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.579,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.599,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.619,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.639,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.659,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.679,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.699,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.719,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.739,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.759,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.779,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.799,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.819,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.839,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.859,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
